Paper name,Year,venue,Sensing Target,Type of sensing,Substrate,Substrate sourcing,Sensing layer materials,Sensing materials Sourcing,Fabrication process,Device Form Factor,validation process,Expected  results,Potential applications,Limitations,Procedure for building these devices,
Isolation and Characterization of Anthocyanins from Hibiscus sabdariffa Flowers,2016,Journal of Natural Products,pH sensitivity and acid–base equilibrium behavior,Colorimetric pH sensing via structural transformations of natural anthocyanins (flavylium ↔ quinonoidal base ↔ hemiketal ↔ chalcone),Dried calyces of Hibiscus sabdariffa flowers (powdered botanical substrate),"Commercial food-grade or analytical hibiscus calyces (local market, Amazon, Sigma-Aldrich)","Delphinidin-3-O-sambubioside (Dp-samb) and Cyanidin-3-O-sambubioside (Cy-samb) anthocyanins extracted from hibiscus; ethanol, formic acid, and water used as solvents","Sigma-Aldrich (ethanol, formic acid); Thermo Fisher Scientific (analytical reagents); local/online botanical suppliers (hibiscus flowers)","Grind dried hibiscus calyces → extract with 80:20 EtOH/H₂O + 5% HOAc (ultrasound 30 min) → filter and evaporate → freeze-dry → fractionate (Sep-Pak C18, MeOH/H₂O gradient) → purify (HPLC, Toyopearl HW-40) → identify via HPLC-ESIMS, NMR, UV-Vis → analyze pH response via pH-jump kinetics",Natural anthocyanin pigment-based colorimetric pH indicator,"pK′ₐ = 2.92, pKₐ = 3.70, pKₕ = 3.02; copigmentation with chlorogenic acid gives 68 % absorbance enhancement and λₘₐₓ shift 523 → 531 nm",Reversible visible color change red ↔ purple with pH; stable in mildly acidic media; sensitive and reproducible optical response,"Natural, biosafe pH indicator for biosensing films, beverage acidity testing, cosmetic monitoring, and environmental sensing",Color instability at neutral/alkaline pH; degradation under light/heat; extraction yield depends on solvent composition; limited aqueous solubility,Extract hibiscus calyces → purify anthocyanins via C18 and HPLC → prepare solution or film → expose to varying pH → observe reversible red–purple color shift; optionally add copigment for improved stability,
Prototyping Soft Devices with Interactive Bioplastics,2022,ACM UIST (User Interface Software and Technology),"Deformation, touch/capacitance, EMG (bio-signal), and pressure sensing","Resistive and capacitive sensing using carbon-based bioplastic composites and gelatin/alginate conductive sheets, pastes, and foams","Alginate or gelatin sheets, carbon-loaded foams, and starch/CMC-based conductive pastes","Food-grade alginate (Biozoon), gelatin (Inka Foods), glycerin (Doktor Klaus), beeswax pellets (supermarket), organic dish soap (emulsifier)",**Sheets:** 5 g alginate + 80 mL water + 5 mL glycerin + 0.5 g carbon black; cure with 1 g Ca-lactate in 50 mL water.  **Gelatin sheet:** 10 g gelatin + 40 mL water + 5 mL glycerin + 1 g carbon black (heated ≈ 80 °C 5 min).  **Pastes:** 10 g CléoBio starch glue + 1.2 g carbon black (12 wt %) + 1 g graphite + 1 drop clove oil.  **Foam:** 10 g gelatin + 30 mL water + 3 mL glycerin + 0.5 mL dish soap + 1 g carbon black.  **Additives (optional):** 0.2 g TGase + 0.5 g sorbitol for strength.,"Biozoon (alginate); Inka Foods (gelatin); Doktor Klaus (glycerin); Vulcan XC 72R (Cabot Corp.); Gewürzland (charcoal); ProGraphite (graphite); CléoBio, Funcakes (adhesives)","Mix polymer (alginate/gelatin) + glycerin + carbon source in given ratios → pour into frame → dry 24–72 h (alginate/gelatin) or 30 min (foam) → cut via Cricut Maker 3 → stack conductive and insulating layers; for pastes, fold carbon mixture into adhesive and paint/stencil (air-dry 30 min); connect circuits via conductive paste or thread to Arduino","Flexible conductive and capacitive bioplastic sheets, pastes, and foams",Alginate bend sensor: 4.39 → 5.44 kΩ (SNR ≈ 25.6); EMG gelatin electrodes: SNR ≈ 21.8 dB; pressure foam: ~763 Ω / 100 g; sheet resistance 150–300 kΩ / □; tensile force 200–280 g @ 9 % elongation,Stable resistive/capacitive response to deformation and bio-signals; biodegradable and re-meltable bioplastic sensors,"Eco-friendly on-skin biosignal and deformation sensors, capacitive touch pads, sustainable DIY prototyping for HCI",Humidity-sensitive; drying 1–4 days; brittle at > 20 wt % carbon; lower precision than silicone; glycerin content affects flexibility,"Mix ingredients by given ratios → cure (Ca-lactate for alginate or dry gelatin) → cut traces → layer conductive / insulating sheets → connect Arduino voltage divider → test deformation, touch, EMG, or pressure sensing → compost bioplastic after use",
"iSkin: Flexible, Stretchable and Visually Customizable On-Body Touch Sensors for Mobile Computing",2015,ACM CHI Conference on Human Factors in Computing Systems,Touch and pressure on skin,Combined capacitive and resistive sensing using layered PDMS and carbon-doped PDMS (cPDMS) electrodes,Multilayer PDMS and cPDMS stack (700 µm total thickness),Sylgard 184 PDMS base and curing agent (Dow Corning / DuPont),PDMS mixed with acetylene carbon black (13 wt%) for conductive cPDMS; base PDMS (10:1 ratio); layered structure with top/bottom insulating PDMS and middle cPDMS electrode layer; patterned hexagonal spacers (1.5 mm diameter),Sylgard 184 (Dow Corning); acetylene carbon black (Alfa Aesar); Z-axis conductive tape (3M),"Mix PDMS base:curing agent 10:1; add 13 wt% carbon black for cPDMS (20:1 ratio mix); spin-coat PDMS/cPDMS (~100 µm films) → laser-pattern electrodes and traces (30 W, 1 mm width) → stack and bond layers with uncured PDMS → cure 60 °C, 2 h → perforate (1.5 mm hex pattern) → attach connectors via Z-tape → connect to Teensy MCU",Flexible on-skin capacitive and resistive touch sensor for light and firm pressure detection,Functional under 30% strain; bend radius 0.5 cm; capacitive SNR = 44.4; resistive SNR = 16.8; accuracy 92.5 ± 11.2% (capacitive) and 98.1 ± 2.8% (resistive); minimal trace width 1 mm,"Thin (~700 µm), stretchable, and customizable on-body touch sensor with two-level pressure detection and stable performance under bending","On-body gesture input for mobile devices, wearable sliders, click wheels, and discreet interface patches",High resistance of cPDMS limits resolution; slow recovery after stretch; rigid connectors; sensitivity drift over long-term use,Mix PDMS + carbon black (13 wt%) → spin-coat layers → laser-cut electrode pattern → stack PDMS/cPDMS layers → cure 60 °C 2 h → attach connector pads → link to Teensy 3.1 → calibrate and test capacitive/resistive touch on skin,
Like a Second Skin: Understanding How Epidermal Devices Affect Human Tactile Perception,2019,ACM CHI Conference on Human Factors in Computing Systems,"Tactile perception (sensitivity, spatial acuity, roughness discrimination)",Psychophysical sensing of tactile stimuli to quantify how different epidermal device rigidities affect perception,"PDMS (Sylgard 184, OE-6550) and temporary tattoo film substrates",Sylgard 184 and OE-6550 PDMS (Dow Corning); MG7-1010 adhesive; Silhouette Inkjet Printable Tattoo Paper,Sylgard 184 (E = 2.7 MPa) medium rigidity ~1.3×10⁻⁷ Nm; OE-6550 (E = 5.1 MPa) high rigidity ~1.2×10⁻⁵ Nm; tattoo paper (E ≈ 1 GPa) low rigidity ~1.7×10⁻⁹ Nm; PDMS adhesive MG7-1010 (Dow Corning),"Dow Corning (Sylgard 184, OE-6550, MG7-1010); Silhouette (tattoo paper)",Mix PDMS base:curing agent 10:1 → doctor-blade coat on PET → cure 95 °C 1 h → apply MG7-1010 adhesive → cure 95 °C 1 h → peel and cut 4.5×4.5 cm patches → measure thickness (optical microscope) → determine flexural rigidity by deflection → apply to skin for psychophysical testing,Epidermal film patches of varying flexural rigidity for tactile sensitivity testing,"16 participants (9F, mean age 27.4) tested across 3 experiments: tactile sensitivity, spatial acuity, roughness discrimination; sensitivity threshold increased 34.7 % (Low), 97.6 % (Med), 221.6 % (High); roughness discrimination error +487.7 % (High rigidity)",Increasing substrate rigidity reduces tactile acuity and roughness discrimination; low-rigidity tattoo substrates preserve touch while maintaining conformability,Design guidelines for epidermal and on-skin interfaces optimizing tactile fidelity vs durability,No vibrotactile or thermal tests; limited to PDMS and tattoo materials; small participant group,"Mix and cure PDMS (Sylgard 184 or OE-6550) → apply adhesive → cure → cut 4.5 cm patches → measure rigidity → apply to fingertip/hand → test tactile sensitivity (Von Frey), 2-point discrimination, and roughness recognition",
Integrating Living Organisms in Devices to Implement Care-based Interactions,2022,ACM UIST (User Interface Software and Technology),Heart rate (enabled only when organism is conductive),Bioelectrical sensing using Physarum polycephalum as a living conductive bridge controlling a heart rate sensor,Acrylic housing with magnetized wells and transparent lid for slime mold growth,"Acrylic sheet (laser-cut), neodymium magnets, PLA or resin 3D-printed enclosure","Living slime mold Physarum polycephalum cultured on oat flakes and water, bridging electrodes as a bio-conductive element",Carolina Biological Supply or Slime Mould Collective (Slimoco); Quaker oats; distilled water; neodymium magnets (Amazon),"Laser-cut acrylic wells → insert magnets and electrodes → seed dried Physarum in one well + oats + water in both → seal with transparent cover → connect to smartwatch circuit (Seeeduino Xiao, MAX3010 HR sensor, SSD1306 OLED, LRA motor, RV-3028 RTC, 200 mAh Li-Po) → maintain humidity and feed oats twice daily → observe bridge growth and conductivity",Smartwatch platform integrating living organism as part of electrical circuit,"Conductive bridge forms in ≈12.7 ± 3.05 h; dries ≈16 ± 9.6 h; regrows ≈10.3 ± 4.9 h; resistance < 3.5 MΩ when active; human study (n=5, 9–14 days) showed users developed care and empathy toward device",Heart rate sensing active only when Physarum bridge is alive and conductive; demonstrates “care-based interaction” linking biological vitality to sensing functionality,"Wearable bio-interactive systems promoting care, empathy, and sustainable relationships with living devices",Requires constant feeding and moisture; limited environmental tolerance; variable growth speed; short operational lifespan; bioethics and contamination risks,Laser-cut acrylic enclosure → add magnets/electrodes → seed Physarum and oats → connect to smartwatch circuit → feed water/oats daily → monitor bridge conductivity enabling or disabling HR sensor; repeat growth/drying cycles for testing,
LivingLoom: Investigating Human–Plant Symbiosis Through Integrating Living Plants into (E-)Textiles,2025,ACM CHI Conference on Human Factors in Computing Systems,"Moisture, light, humidity, and touch sensing within plant-integrated textiles","Capacitive, moisture, and environmental sensing using seed-embedded hydrogel yarns and conductive textile structures","Seed-integrated hydrogel yarns woven into cotton, twill, or double-weave textile structures","Hydrogel polymer base and yarns fabricated in-lab; microgreen seeds (chia, broccoli) sourced commercially; cotton/twill fabrics from Joann Fabrics or equivalent","Hydrogel yarns containing microgreen seeds; conductive threads interwoven for capacitive sensing; flexible tubing (ID 1 mm, OD 2 mm) for irrigation; disc vibration motor and microcontroller for feedback","Amazon (microgreen seeds); McMaster-Carr (tubing 5233K111); SparkFun/Adafruit (pump, vibration motor, microcontroller); Joann Fabrics (base textiles)",Wet-spin hydrogel yarns with seeds → weave into textile forms → integrate conductive threads and irrigation tubing → attach 5 V peristaltic pump and vibration motor → connect to microcontroller → maintain daily watering and 6 h light exposure during 10-day growth cycle,Living textile platform with integrated plant growth and capacitive touch interaction,10-day growth cycle maintained; sprouts germinate within 2–3 days; capacitive sensing via chia sprout electrodes responsive to touch; self-watering validated with peristaltic pump; user study (n=10) confirmed emotional engagement and care motivation,"Healthy sprouting, responsive touch-sensing textiles, and functioning self-watering interaction; promotes sustainable and emotional connection between wearer and living materials","Wearable living textiles, bio-aesthetic eco-fashion, care-based interactive systems, sustainable HCI prototypes",Requires daily watering and sunlight; fragile during early growth; sprouts dry under low humidity; electronics limited by moisture exposure,Wet-spin hydrogel yarns with seeds → weave into textile (double/waffle weave) → integrate conductive threads and tubing → connect pump and controller → grow 10 days under sunlight → test touch sensing and self-watering performance,
Lotio: Lotion-Mediated Interaction with an Electronic Skin-Worn Display,2023,ACM CHI Conference on Human Factors in Computing Systems,"Lotion presence, lotion type, and touch events on skin",Resistive sensing and electrochromic display actuation using PEDOT:PSS films activated by applied lotion as electrolyte,"Cellulose acetate film or 3M Micropore surgical tape (biodegradable, skin-safe, lotion-permeable)","Commercial cellulose acetate sheets; 3M Micropore surgical tape (medical stores, Amazon)","PEDOT:PSS mixed with DMSO (7:3 ratio) as conductive and electrochromic layer; copper tape for connections; lotion (sunscreen, moisturizer, ointment, sanitizer) as electrolyte","Sigma-Aldrich (PEDOT:PSS, DMSO); 3M (Micropore tape); Adafruit/SparkFun (Arduino, ATtiny85); retail pharmacy lotions",Mix PEDOT:PSS : DMSO (7:3) → airbrush onto acetate/tape on 120 °C plate (~1 µm film) → dry → laser-cut pattern → transfer to skin → connect copper leads → apply lotion (~1 µm) to activate electrochromic response → observe color change and current response,Electrochromic skin-worn display activated by lotion application,1–5 V operation; color switching <3 s for sunscreen/moisturizer; bistable color >10 min; dry vs lotion touch differentiated by ~30 µA current; unique current/time profiles for each lotion type,"Visible, low-power, color-changing skin display responsive to lotion application and touch; self-care feedback through electrochromic color modulation","Ambient skin displays, sunscreen reminders, cosmetic computing, hydration or medication feedback patches",PEDOT:PSS layer fragile under alcohol sanitizers; sweat can cause false activation; requires external microcontroller and power source; limited scalability,Mix PEDOT:PSS + DMSO (7:3) → airbrush on substrate at 120 °C → dry and laser-cut → transfer to skin → attach copper leads → apply lotion to activate color change → test lotion differentiation and bistability,
MediKnit: A Textile-Based Physiological Sensing Framework for Wellness and Care Applications,2024,"ACM IMWUT (Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies)","Heart rate, respiration, touch, and body movement","Multimodal bioimpedance, capacitive, and resistive sensing using knitted textile electrodes and conductive yarn structures",Knitted spandex–cotton blended fabric with interwoven conductive and insulating yarns,Base fabric from Hohenstein Institute or commercial knitting mills; conductive yarns (silver-plated nylon) from Shieldex,Conductive yarns (Shieldex 117/17 dtex 2-ply silver-plated nylon); insulating polyester/cotton yarns; Ecoflex 00-30 silicone coating; snap connectors or conductive threads for MCU linkage,Shieldex (conductive yarns); Smooth-On (Ecoflex); Arduino Nano 33 BLE or ADS1292 AFE (Adafruit/SparkFun); commercial textile mills,"Design knit pattern (single jersey, rib, purl) → knit using Shima Seiki SWG061N machine → integrate conductive yarn electrodes at target zones → apply thin Ecoflex coating → sew snap buttons/conductive threads → connect to ADS1292 analog front-end or Arduino BLE → calibrate respiration and heart rate channels",Knitted textile platform for physiological and interactive sensing,Respiration: impedance Δ ~0.15 Ω (inhale/exhale); heart rate: 93.4 % correlation with ECG; capacitive touch SNR 28.3; stretch linear up to 35 % (ΔR/R₀ ≈ 0.48); washable up to 20 cycles (<10 % loss),"Stable, comfortable, and washable multi-sensor textile for respiration, heart rate, touch, and motion detection","Wearable health monitoring, elder care, interactive clothing, and stress or sleep tracking systems",Hysteresis under >40 % stretch; humidity affects capacitance; machine tolerance variations; requires shielding for clean bioimpedance data,Knit spandex–cotton fabric with conductive yarns → coat Ecoflex → attach connectors → link to ADS1292 or Arduino → calibrate respiration and HR → test touch and stretch → wash test and validate comfort/durability,
Multi-Touch Skin: A Thin and Flexible Multi-Touch Sensor for On-Skin Input,2018,ACM CHI Conference on Human Factors in Computing Systems,Touch and gesture sensing on skin,Mutual-capacitance sensing using flexible printed transmitter and receiver electrodes for multi-touch input,Temporary tattoo paper with PVC and PET film dielectric layers,Commercial tattoo decal paper (Amazon); PVC film (30 µm); PET film (Mitsubishi Paper Mill),"Silver conductive ink (Mitsubishi NBSIJ-MU01, 0.2 Ω/□); PEDOT:PSS polymer (Gwent C2100629D1); carbon ink (Gwent C2130925D1); dielectric paste (Gwent D2070209P6 or R2070613P2); optional gold leaf for aesthetic electrodes","Mitsubishi Paper Mill (silver ink, PET film); Gwent Group (PEDOT:PSS, dielectric pastes); 3M (Z-axis tape); Amazon (tattoo paper)","Print transmitter, receiver, and shield electrodes on tattoo-paper substrates → sandwich with PVC dielectric (~30 µm) → bond using tattoo adhesive layers → align and laminate → connect via FFC to MTCH6303 controller → interface to Raspberry Pi Zero (100 Hz sampling)",Flexible on-skin mutual-capacitance multi-touch sensor,SNR = 31.6–52.6 (shielded) vs 2.4–5 (unshielded); accuracy 0.72–1.49 mm across flat/wrist/finger; resolves 2 touches at ~7 mm spacing; stable at 100 Hz update rate,"Accurate, thin (<80 µm) multi-touch sensor for curved skin surfaces with high SNR and sub-mm accuracy","On-skin input patches, wearable gesture control, smartwatch strap interfaces, and behind-ear gesture sensors",Brittle dielectric pastes prone to cracking; gold leaf fragile for small electrodes; accuracy drops on extreme curvature; limited connector flexibility,Screen print silver/PEDOT transmitter and receiver layers on tattoo paper → add PVC dielectric → stack and align → bond with tattoo adhesive → connect via FFC to MTCH6303 controller → test multi-touch accuracy and SNR on body,
Myco-Accessories: Sustainable Wearables with Biodegradable Materials,2019,ACM International Symposium on Wearable Computers (ISWC),No direct sensing; focuses on material sustainability and embedded illumination,Biofabrication and sustainable wearable design using mycelium skins embedding reusable electronic components,Mycelium skin (grown from fungal substrate) flattened and cured with glycerin for flexibility,"Grow.bio mycelium kit; flour, water, glycerin, cornstarch glue (food-grade)","Mycelium substrate (fungal composite); embedded LEDs, coin batteries, Neopixel rings, switches laminated between two mycelium layers","Grow.bio (mycelium substrate); Adafruit/SparkFun (LEDs, Neopixels, batteries); Amazon (glycerin); homemade cornstarch glue",Activate mycelium kit (flour + water) → incubate 7–10 days → mold + incubate 4–8 days → peel + flatten → cure with glycerin (1–2 days) → embed LED circuit between two mycelium layers → glue with cornstarch → laser cut/stitch → dry and test illumination,Biodegradable illuminated wearable accessories with reusable electronics,Mycelium skins grown 30–40 days; thickness 0.5–2 mm; flexible after glycerin treatment; electronics functional and reusable; biodegrades within ~90 days after composting,Functional biodegradable accessories with embedded LEDs demonstrating closed-loop wearable fabrication and compostable design,"Sustainable wearable fashion, biofabrication education, eco-friendly e-textile prototyping, and HCI material exploration",No electrical sensing; long growth time (30–40 days); odor and texture variability; fragile in humidity; irregular surfaces,Grow mycelium substrate → flatten and cure with glycerin → embed and laminate circuit between two skins → glue with cornstarch → laser cut + stitch → dry → test illumination → reuse electronics and compost mycelium,
Nail pHolish: Sensing Hand-Fluid Interactions Through Biocosmetic Interfaces,2024,ACM International Symposium on Wearable Computers (ISWC),pH of bodily fluids and environmental liquids,Colorimetric pH sensing using anthocyanin-based biocosmetic nail polish with optical readout via spectrophotometer or app,Water-based nail polish applied on natural or artificial fingernails,Commercial water-based nail polish base; cosmetic-grade red cabbage powder (anthocyanins) and non-nano titanium dioxide pigments,"Red cabbage powder (anthocyanins) as pH-sensitive pigment; titanium dioxide for opacity; nail polish base with styrene/acrylates copolymer, polyacrylic acid, propylene glycol, phenoxyethanol, caprylyl glycol; optional top coat","Sigma-Aldrich (red cabbage pigment, TiO₂); DIY cosmetic suppliers (nail polish base); Nix Sensor Ltd. (Spectro 2 colorimeter)",Grind 0.1 g TiO₂ + 0.2 g red cabbage powder → mix with 3 g nail polish base → stir 5 min → transfer to bottle → apply 1 coat → air dry 2 h → expose to pH 5–8.5 liquids (color change pink → purple → blue-green) → test reversibility under repeated cycles → record optical data via spectrophotometer,Color-changing pH-sensitive nail polish for fluid interaction detection,"pH range 5–8.5; reversible color transitions (pink ↔ blue-green); wear duration up to 72 h; pH measurement accuracy ±0.2; maintains color under daily use (washing, cooking); user usability rating 6.8/7",Visible and reversible pH-dependent color change integrated into nail polish; detects acidity of fluids via naked-eye or app-based readout,"Health monitoring (oral, sweat, reproductive fluids); environmental acidity detection (rain, beverages); cosmetic and educational bio-HCI applications",Pigment fading after multiple cycles; 2–3 day wear limit (water-based base); limited to pH detection only; thickness sensitivity on curved nails,Grind pigment + TiO₂ → mix with nail polish base → bottle → apply on nail → dry 2 h → test under different fluids (pH 5–8) → measure RGB via spectrometer → recalibrate color library for app readout,
"Organic Primitives: Synthesis and Design of pH-Reactive Materials Using Molecular I/O for Sensing, Actuation, and Interaction",2017,ACM CHI Conference on Human Factors in Computing Systems,pH of liquids and biological fluids,"Colorimetric, olfactory, and shape-based molecular sensing and actuation using biopolymer films responsive to pH","Kappa-carrageenan, sodium alginate, and chitosan biopolymer films","Food-grade sodium alginate, kappa-carrageenan, chitosan, citric acid, sodium bicarbonate, and calcium sulfate from culinary/chemical suppliers",Anthocyanin pigment (0.1% w/v) for color sensing; vanillin (0.12% v/v) for odor actuation; chitosan (4% w/v in 3% acetic acid) for swelling actuation; calcium sulfate crosslinker; acids/bases for pH control (2–10),"Modernist Pantry (alginate, carrageenan); Sigma-Aldrich (vanillin, chitosan, calcium sulfate, acetic acid); Enasco (anthocyanin)","Dissolve selected biopolymer (1.5–4% w/v) → add dopant (anthocyanin/vanillin/chitosan) → cast into mold → dry 12–24 h → crosslink alginate with calcium sulfate (15:100) → test under pH 2–10 solutions → record responses (color, odor, shape) → optionally combine primitives for multi-modal response",Edible and biodegradable molecular materials acting as pH-responsive sensors and actuators,"Color change (pH 2 red → pH 10 green, 50–90 s); odor ON (pH 2–8), OFF (pH 9–10, <5 s); chitosan bending in 10 min at pH 3–8; user recognition of odor intensity accurate across pH range","Soft, self-contained materials that sense and actuate through molecular mechanisms without electronics; biocompatible and reversible within moderate pH range","Environmental pH sensing, edible cosmetics, body-fluid monitoring, food interfaces, and interactive packaging",Requires liquid pH input; limited reversibility at extreme pH; odor loss over repeated cycles; 12–24 h drying; humidity affects durability,"Prepare alginate/carrageenan/chitosan base → mix dopant (anthocyanin/vanillin) → cast film → dry → crosslink → expose to pH 2–10 → observe color, odor, or shape response → combine primitives for hybrid output",
PhysioSkin: Rapid Fabrication of Skin-Conformal Physiological Interfaces,2020,ACM CHI Conference on Human Factors in Computing Systems,"Surface electromyography (sEMG), electrocardiography (ECG), and electrodermal activity (EDA)",Bioelectrical and capacitive sensing using digitally fabricated ultra-thin printed electrodes on skin or textiles,"Tattoo paper, thermoplastic polyurethane (TPU), PDMS, PET film, and textile transfer film (SKULLPAPER)","Tattoo paper (SUNNYSCOPA, Amazon); TPU film (3M/custom suppliers); PDMS (Dow Corning Sylgard 184); PET (Mitsubishi); textile transfer film (SKULLPAPER Premium)",Silver nanoparticle ink (Cabot CCI-300); PEDOT:PSS conductive polymer; PVP dielectric (5–6 layers); soft skin adhesive (MG7-1010); optional copper tape/FPC connectors,"Cabot (Ag ink); Heraeus (PEDOT:PSS); Sigma-Aldrich (PVP); Dow Corning (SSA MG7-1010, PDMS); Adafruit (connectors); SKULLPAPER (transfer film)","Design electrodes (10–12 mm) → inkjet print silver nanoparticle ink → heat-cure (100–120 °C, 10–15 min) → optionally add PEDOT:PSS layers → print PVP dielectric (5–6 layers) → apply skin adhesive → laser cut and align → transfer to skin or textile → connect via FPC/copper tape → calibrate for EMG/ECG/EDA and record at 250 Hz",Custom multi-modal skin and textile interfaces for physiological signal acquisition,"EMG SNR: 20–25 dB (tattoo), ECG SNR: 6.3 dB (tattoo vs 7.45 dB commercial), EDA correlation: 0.95 ± 0.01 (tattoo); fabrication <20 min; 8 participants validated performance","Low-cost, flexible, and high-fidelity physiological sensing comparable to gel electrodes; customizable substrates enable diverse use cases","Fitness and wellness tracking, emotional VR logging, touch-integrated biointerfaces, and rapid HCI prototyping",SNR below medical grade for ECG; PET variant non-stretchable; PDMS requires plasma pretreatment; adhesion weakens under sweat or prolonged wear,Inkjet-print silver ink on chosen substrate → heat cure → add PEDOT:PSS + PVP dielectric → apply skin adhesive → laser cut → transfer to skin → connect via FPC → calibrate and record EMG/ECG/EDA signals,
SCOBY Breastplate: Slowly Growing a Microbial Interface,2023,"ACM Tangible, Embedded, and Embodied Interaction (TEI)","Touch intensity (light, medium, heavy) through microbial biofilm",Capacitive sensing using activated carbon–coated SCOBY biofilm with LED feedback,Dried microbial cellulose (SCOBY) layers grown in sweet tea medium over mannequin molds,"DIY-grown SCOBY from GT’s Kombucha starter; sugar, black tea, and olive/coconut oil from grocery sources",Activated carbon paint for conductivity; SCOBY cellulose film as dielectric; waterproof LED strip; Adafruit Feather 32u4 Basic Proto; 3.7 V 150 mAh Li-ion battery,"GT’s Kombucha (starter culture); Adafruit (Feather, LEDs, battery); Sigma-Aldrich/Amazon (activated carbon); food-grade tea, sugar, oils (supermarket)","Brew 3.3 L sweet tea + 200 g sugar + 3 tea bags → cool → add 500 mL kombucha starter → incubate 3 weeks/layer (5 mm) → harvest and oil-treat SCOBY → dry 2–5 days → stack 4 layers (shape, support, LEDs, conductive SCOBY) → laser cut (Epilog M2, 30/70) → connect to Feather microcontroller → map touch intensity to LED PWM brightness",Grown microbial interface wearable with capacitive sensing and illumination,Tensile strength 6.84–8.06 MPa; elongation 3.83–27.13 %; detects 3 pressure levels; LED brightness mapped to touch; biodegrades 96 % (plain) / 84 % (conductive) in 30 days,"Biodegradable touch-sensitive wearable integrating SCOBY growth with digital interactivity; explores slow, sustainable fabrication and living material HCI","Sustainable microbial wearables, slow design education, biodegradable fashion, DIYBio interfaces",Slow growth (13 weeks total for 4 layers); material variability; fragile in humidity; limited capacitance uniformity,Brew tea + sugar + starter → grow SCOBY 3 weeks/layer → oil-treat + dry → mold on mannequin → embed LEDs + carbon SCOBY → connect microcontroller → test LED brightness by touch → compost after use,
Silicone Devices: A Scalable DIY Approach for Fabricating Self-Contained Multi-Layered Soft Circuits Using Microfluidics,2018,ACM CHI Conference on Human Factors in Computing Systems,"Touch, proximity, pressure, and strain sensing",Capacitive and resistive sensing using multi-layer PDMS circuits with Galinstan liquid-metal microchannels and embedded components,"Polydimethylsiloxane (PDMS) silicone, cast in multi-layer configuration with embedded components",PDMS (Silicones & More Transparent 15 Fast); vinyl masks; acrylic buildplates; silicone primer (BISON); Galinstan liquid metal (Sigma-Aldrich),"Galinstan (gallium–indium–tin alloy) for conductive channels; PDMS as insulating matrix; silicone primer for adhesion; copper pads, SMD ICs, LEDs, batteries, and microcontrollers embedded within layers","Silicones & More (PDMS); Sigma-Aldrich (Galinstan); BISON (primer); Adafruit (LEDs, microcontrollers, coin batteries); local hardware suppliers (acrylic sheets)",Design in EAGLE/Illustrator → engrave component layer → place SMD parts → spray silicone primer → mold and cast PDMS → transfer to secondary plate → laser-cut vinyl masks → paint Galinstan channels → peel mask → coat PDMS (~300 µm) → cure 15 min → add VIAs (4 mm) → fill with Galinstan → seal → integrate components and cure,"Stretchable and self-contained PDMS circuit integrating sensors, components, and power",Resistive stability: +0.16 Ω (5.7 %) after 1000 cycles at 200 % strain; strain range up to 400 %; capacitive touch range 0–7 cm; strain sensing 190–650 Ω (0–150 %); pressure tunable by PDMS thickness (Shore A 15–40); workshop users fabricated devices <4 h,"Durable and reconfigurable soft circuit platform with conductive microchannels for touch, proximity, pressure, and strain sensing","DIY stretchable wearables, soft robotics, interactive surfaces, and health-monitoring prototypes",Manual process (1–4 h fabrication); thick (~1 mm); opaque Galinstan; precision required for layer transfer and VIA filling,Design circuit → cast PDMS layers → laser-cut masks → paint Galinstan → seal with PDMS → form VIAs → embed LEDs/microcontroller → cure and test strain and capacitive response,
